characteristic_1	characteristic_2	characteristic_3	characteristic_4	characteristic_5
У меня любимая работа.	Я уважаю людей.	У меня есть животное.	У меня хороший друг.	Я люблю кофе.	
Я работаю учителем	У меня есть собака	Я люблю петь	Я живу сама	Я люблю цветы	
Я купила дом	Я бегаю по утрам	Я работаю на работе	Я поеду в отпуск	Я люблю арбуз	
я врач и женат	у меня трое детей	не люблю свою работу	нравиться ездить на велосипеде	люблю пиво	
Я школьница.	Я ещё учусь.	Но я мечтаю работать.	Я обожаю родителей.	И не люблю учиться.	
Я дизайнер.	Я был в 12-ти странах.	Люблю пешие прогулки.	люблю рок-музыку.	Хочу купить дачу.	
я норвежец	у меня есть попугай	я не люблю деревья	у меня было десять лошадей	я не курю	
Я автослесарь	Люблю играть на гитаре	Обожаю рыбалку	Воспитываю дочку	Вдовец	
Я рисую	Я живу за границей	Я посадила семь яблонь	Я работаю с дельфинами	Я варю вкусные щи	
Я красивая	У меня светлые волосы	Живу на первом этаже	Я очень люблю животных	У меня была собака	
Работаю банкиром.	Люблю лыжи.	Веду свой блог.	Люблю дорогой алкоголь.	В отпуске путешествую.	
Я мужчина	я штукатур маляр	я отец двоих детей	я увлекаюсь мотоциклами	я люблю скорость	
Я люблю свою семью	Я люблю вино	Я люблю петь	У меня есть сын	Я люблю рисовать	
Я ветеринар	Мне 30 лет	Мой папа полицейский	Люблю пирожки	Хочу капучино	
люблю петь.	По образованию я экономист.	Моя любимая страна - Испания.	Хожу на дискотеки.	Люблю читать книги.	
Работаю медсестрой .	В браке состою.	Детей у нас нет.	Люблю отдыхать на природе.	Люблю музыку.	
У меня много друзей	Я люблю шить	Я ненавижу громкую музыку	Я вегетарианка	Я мастер спорта по	
Я люблю мороженое	Я люблю гулять	Я никогда не был на море	Я работаю курьером	Мой друг художник	
Моя семья богатая.	У нас свой зоопарк.	Я люблю животных.	Я учусь на ветеринара.	Я хорошо готовлю.	
Я врач.	Я женат.	У меня родился сын.	Я коплю деньги на загородный дом.	Я езжу на рыбалку.	
Я врач.	Люблю слушать Моцарта.	Увлекаюсь чтением книг.	Занимаюсь плаванием.	люблю сладкое.	
Я студентка.	Мне нравится танцевать.	Я люблю читать .	У меня двое собак.	Я живу в коммуналке.	
Я фрилансер	Я ценю своё время	Я люблю саморазвиваться	Мне нравится удивлять людей	Я люблю свою жизнь	
Я художник	Люблю осень	Сейчас придут гости	Я живу в Питере	Дождь	
Я пенсионерка	мое хобби читать книги	у меня трое внуков	я люблю для них печь пироги	летом мы ходим за ягодами и за грибами	
я медсестра.	Я работаю ночью.	Я хорошо шью.	Увлекаюсь рыбалкой.	Мои родители строители.	
Я автослесарь.	Я люблю автомобили.	Я посещаю тренажерный зал.	У меня две собаки.	Я не женат.	
Я мальчик	Мне 12 лет	Я учусь в 7 классе	Я люблю футбол	Я люблю торт	
Я учитель	Я живу у моря	У меня есть два кота	Моя дочь ходит в сад	Я вяжу спицами	
Я певица.	У меня есть сын.	Я любим играть на гитаре.	У меня есть попугай.	Я занимаюсь йогой.	
я музыкант	я люблю вкусно поесть	я живу за городом	я занимаюсь плаванием	я люблю путешествовать	
Я студент.	Я играю в КВН.	Я будущий инженер.	Я ищу девушку.	У меня есть крестник.	
Я преподаватель.	У меня есть садовый участок.	Увлекаюсь рыбалкой и охотой.	люблю кататься на велосипеде.	Коллекционирую монеты.	
Я домохозяйка.	У меня нет работы.	Я замужем.	У меня есть кот.	Я хочу на море.	
Я женщина.	Живу в Украине.	Люблю природу.	Мое хобби вязание.	Собираюсь в путешествие.	
я рыбак	я люблю зимнюю рыбалку	у меня 2 сына	я работаю слесарем	я слушаю рок	
Я лысый.	Я люблю гулять пешком.	У меня есть овчарка.	люблю готовить.	Я люблю исторические фильмы.	
Я женщина.	У меня двое детей	Работаю няней	Увлекаюсь рукоделием	люблю сыр	
У меня своя ферма.	Я люблю животных.	Занимаюсь танцами.	Живу в двухэтажном доме.	Я хорошо готовлю.	
Учусь в школе.	Родителей очень люблю.	Хочу быть журналистом .	План-сдать экзамены.	Общителен .	
Я экономист	Люблю обнимашки	Играю в футбол с детьми	Мечтаю о космосе	Три раза разводилась	
Я работаю инженером.	У меня трое детей	У меня есть котенок	Я живу в городе Москва	Я люблю рисовать	
Я спортсмен	Я женился	Я хожу в кинотеатр	Я люблю работать	Я сам готовлю	
Мне 19 лет.	У меня есть машина.	люблю плавать.	Мечтаю стать гонщиком F1.	Не люблю бананы.	
Я работаю учителем	У меня есть сын	Я люблю готовить	Я мечтаю о доме	Я люблю рисовать	
Работаю на почте.	Хочу жить в Москве.	Катаюсь на горных лыжах.	Плачу ипотеку.	Веду блог о косметике.	
У меня опыт с финансами.	Я проектант	У меня есть детки.	У меня есть диплом	Я умею считать деньги.	
Я учусь в 11 классе.	Я стану врачом.	Я занимаюсь аэробикой.	У меня есть 6 кошек.	Я помогаю животным.	
Я студент.	Я будущий адвокат.	Я люблю машины.	Ищу девушку.	Люблю торты.	
я занимаюсь серфингом	люблю конфеты	у меня есть ребенок	я агент по продажам	я люблю путешествовать	
я программист	люблю красивые вещи	я хожу на косплей	я люблю пить кофе	хочу быть любимым	
Я люблю редис.	У меня есть кот.	Мои родители фермеры.	Я не видел море.	Я мечтаю стать космонавтом.	
Я работаю инженером.	У ношу очки.	Я изучаю компьютер.	Я люблю трудиться.	Я люблю людей.	
Я не работаю	Хочу выучить английский	Я люблю футбол	У меня есть пес	Хочу в отпуск	
Я инструктор по фитнесу	Учу правильно питаться	Люблю спорт	Обожаю путешествовать	Люблю свою	
Я слесарь	Я люблю шумные компании	Я увлекаюсь играми	Я купил автомобиль	Я люблю фантастику	
Учусь в 10 классе.	Обожаю спорт.	Большой меломан.	Хобби - компьютер.	Живу в России.	
Люблю ромашки.	Любимый цвет - белый.	Я учитель физики.	У меня есть попугай.	Люблю фильмы ужасов.	
Я художница.	Крашу волосы.	Люблю путешествовать.	Я хожу в музеи.	Мой любимый цвет - коралловый.	
Я люблю капучино.	Мне нравится весна.	У меня двое детей.	Летом я еду отдыхать.	Я хочу похудеть.	
Мне-17 лет.	Любимый фильм-Титаник.	Живу с родителями.	Перед сном слушаю музыку.	Знаю немецкий.	
я домохозяйка	у меня трое детей	я мечтаю открыть пекарню	я хорошо готовлю	мой муж инженер	
Я домосед.	У меня живет восемь кошек.	Я люблю вино.	Я много читаю.	Я хотела бы жить в Норвегии.	
Я люблю читать книги	У меня есть собака и кот	Я женат	Умею играть на гитаре	Занимаюсь спортом	
Я дедушка.	Я директор.	Мне 50 лет.	Я марафонец.	Я хорошо танцую.	
Мне 45 лет.	У меня есть внучка.	Я бухгалтер.	Я люблю готовить.	Я хочу поехать в Париж.	
я рисую девушек	работаю официантом	моя мама тренер	мечтаю о новом скейтборде	увлекаюсь соционикой	
Я работаю в магазине.	У меня двое детей.	Я люблю автомобили.	Я работаю в саду.	Я вяжу крючком.	
Я мало сплю.	Я играю в игры на пк.	Я работаю в интернете.	Я не выхожу из дома.	Я отшельник.	
Я учитель	У меня близняшки	Тестирую кулинарию	Развлекаюсь цветами	Люблю единственного!Учусь любить	
Закончил мед. институт	Играю в танки	Люблю кататься на роликах	Умею готовить печенье	Есть 8 собак	
Я люблю кошек.	Мне нравятся цветы.	Я увлекаюсь чтением.	Я люблю море.	У меня есть братья.	
Я учитель.	У меня большая собака.	Занимаюсь цветоводство.	Помогаю бездомным.	Катаюсь на коньках.	
Я очень спокойный.	У меня есть девушка.	Я люблю читать.	Знаю химию.	Очень нравится пицца.	
Я инструктор.	Я женат.	У меня есть дочь и сын.	Я не умею готовить.	Я плаваю.	
Я пою в караоке	У меня есть супруга	Хорошо готовлю пасту	Люблю собак	Аллергия на кошек	
Я пою	Я живу с бабушкой	У меня есть мопед	Я хочу стать полицейским	Я люблю пельмени	
Я инженер	Я люблю компьютерные игры	Я много путешествую	Я хожу в бассейн	Я не женат	
Я фотограф.	Я люблю готовить.	Я родом из Европы.	У меня есть кот.	Я никогда не пил спиртное.	
Я женщина.	У меня 2 детей.	Мой муж спортсмен.	Я занимаюсь гимнастикой.	Я люблю брокколи.	
Я люблю лето.	Изучаю английский язык.	Я пишу стихи.	люблю готовить.	Мечтаю побывать в Италии.	
читаю про гарри потера	люблю математику	катаюсь на коньках	люблю танцевать	умею делать мостик	
Я учитель.	Я вышла замуж за друга.	Я хожу на курсы английского.	Я путешествую.	У меня есть сова.	
Я люблю рыбалку.	У меня трое внуков.	У меня много друзей.	Я не люблю политиков.	У работаю хирургом.	
я сторож	был женат сорок лет	у меня трое детей	живу на даче	у меня есть компьютер	
Моя мечта прыгнуть с парашютом.	Я люблю сюрпризы.	Я никогда не вру.	Я люблю вкусно покушать.	Я много путешествую.	
Я библиотекарь.	У меня есть кошка.	Я пеку торты.	Я катаюсь на коньках.	Плавание - мое хобби летом.	
Молодая девушка.	Хорошая внешность.	Любимая работа.	Карьеристка.	Амбициозна.	
читаю про гарри поттера	люблю математику	катаюсь на коньках	люблю танцевать	умею делать мостик	
Я люблю яблоки.	У меня две собаки.	Я живу с подругой.	Я люблю вино.	Я люблю читать.	
Я строитель.	Играю в лотереи.	Женат.	Живу в частном дома.	На выходных отдыхаю в баре.	
Я люблю ходить на рыбалку	Я занимаюсь спортом	Я рано просыпаюсь	Я люблю есть	Я бегаю по утрам	
Работаю охранником.	Люблю животных.	Владею авто.	Знаю английский.	Не курю и не пью.	
Я работаю в библиотеке	Я собираю швабры	Мечтаю увидеть Париж	Я езжу на рыбалку	Занимаюсь свистом	
у меня две кошки	я живу одна	я хорошо готовлю	я живу на первом этаже	скоро пойду на пенсию	
Я бизнес бэби	Научу все успевать	Готовлю вкусные сырники	Ломаю стереотипы	Умею любить	
Мне 13 лет.	Я парень.	Люблю играть в футбол.	Обожаю свою собаку.	Люблю папу и маму.	
Я учитель биологии.	Я живу в деревне.	У меня три кота.	Я люблю блины с икрой.	Я много читаю.	
Я медбрат	Мои родители учителя	Я хочу в Париж	У меня есть попугай	Я женат на медсестре	
Я спортсмен	Я счастливый отец	Я востребованный	Я люблю и любим	Я на высоте	
Я мальчик 9 лет.	Я люблю маму.	Я люблю игры.	Я хожу в школу.	У меня попугай.	
Мне 50 лет.	У меня 5 внуков.	Я вдова.	Работаю бухгалтером.	У меня есть кот.	
Я дизайнер.	Люблю острую пищу.	Есть кот и собака.	Обожаю спорт.	Бегаю по утрам.	
Я студент	Часто сижу в инете	Люблю футбол	У меня есть велосипед	Занимаюсь спортом	
Я фотограф.	Я играю на гитаре.	Я люблю животных.	Я замужем, есть дочка.	Я люблю путишествия.	
Я дальнобойщик.	Я люблю путешествовать.	У меня есть собака.	Я холост.	Я живу в центре города.	
я страховой агент	у меня двое детей	у хорошо готовлю	я люблю долго спать	я люблю петь в караоке	
Я- водитель КАМАЗа	У меня нет жены	Я люблю пить пиво	Я ненавижу зиму	Я обожаю рыбалку	
Я продавец.	У меня есть дочь и сын.	люблю готовить.	Есть кошка.	Мы живем на первом этаже.	
я тракторист	у меня семь братьев и сестер	я люблю сладкое	у меня есть Газель	через год я женюсь	
Я бухгалтер	Разведена	У меня три кошки	Я люблю рисовать	Я хорошо готовлю	
Я солдат.	У меня трое детей.	Моя жена врач.	Я люблю своих детей.	Мне нравиться жить в деревне.	
Я фрилансер.	Я знаю четыре языка.	У меня большой дом.	У меня есть дача.	Я люблю цитрусовые.	
Я лесник.	Я женат. Жена беременна.	Я люблю отдых у реки	Я умею вышывать.	У меня есть свой блог.	
Я администратор.	Люблю путешествовать.	У меня есть дочь.	Хочу объездить весь мир.	Всегда опаздываю.	
киберспортсмен	у меня есть варан	отец программист	люблю рок-музыку	у меня есть коллекционная гитара	
Я инженер	У меня есть машина	У меня есть собака	Я люблю игры	Я снимаю квартиру с подругой	
Я люблю солянку	У меня две собаки и кот	У меня есть сын и дочь	Я люблю море	Мечтаю стать капитаном	
Мне 10 лет	Я хожу в школу	Хочу научиться танцевать	Хочу на луну	Моя мама доктор	
У меня есть друг.	Я люблю фильмы.	Иногда я езжу в лес.	Мой папа строитель.	У меня большой дом.	
